id,callingPartyNumber,originalCalledPartyNumber,duration
381,1617,1000,2
382,b002179164211001,7777,2
383,b002179164211001,7777,2
384,1617,1000,2
385,b002179164211001,7777,1
386,b002179164211001,7777,1
387,1617,1000,2
388,b002179164211001,7777,1
389,b002179164211001,7777,1
390,1617,1000,1
391,b002179164211001,7777,1
392,1617,1000,1
393,b002179164211001,7777,1
394,b002179164211001,7777,1
395,1617,1000,11
396,b002179164211001,7777,10
397,b002179164211001,7777,10
398,b001179548411001,7777,10
399,b001179548411001,7777,10
400,1409,1022,16
401,b001179468211001,7777,16
402,b001179468211001,7777,16
403,b001179514611001,7777,16
404,b001179514611001,7777,16
405,1617,1000,16
406,b002179164211001,7777,16
407,b002179164211001,7777,16
408,b001179548411001,7777,16
409,b001179548411001,7777,16
410,1617,1000,6
411,b002179164211001,7777,5
412,b002179164211001,7777,5
413,b001179548411001,7777,6
414,b001179548411001,7777,6
415,1007,1006,37
416,b001179513711001,7777,36
417,b001179513711001,7777,36
418,b001179534011001,7777,37
419,b001179534011001,7777,37
420,1617,1000,2
421,b002179164211001,7777,1
422,b002179164211001,7777,1
423,1617,1000,1
424,b002179164211001,7777,1
425,b002179164211001,7777,1
426,1617,1000,1
427,1617,1000,1
428,b002179164211001,7777,1
429,b002179164211001,7777,1
430,1950,1016,10
431,b001179515211001,7777,10
432,b001179515211001,7777,10
433,b001179517611001,7777,10
434,b001179517611001,7777,10
435,1617,1000,1
436,b002179164211001,7777,1
437,b002179164211001,7777,1
438,1617,1000,13
439,b002179164211001,7777,13
440,b002179164211001,7777,13
441,b001179548511001,7777,13
442,b001179548511001,7777,13
443,1017,501088832,102
444,b001179514911001,7777,101
445,b001179514911001,7777,101
446,1000,1617,13
447,b002179164211001,7777,13
448,b002179164211001,7777,12
449,b001179548511001,7777,13
450,b001179548511001,7777,12
451,1000,1617,33
452,b001179548511001,7777,32
453,b001179548511001,7777,32
454,b002179164211001,7777,32
455,b002179164211001,7777,32
456,1022,1409,8
457,b001179468211001,7777,8
458,b001179468211001,7777,8
459,b001179514611001,7777,8
460,b001179514611001,7777,8
461,1617,1614,17
462,b002179164211001,7777,17
463,b002179164211001,7777,17
464,1614,1617,48
465,b002179164511001,7777,48
466,b002179164511001,7777,48
467,b002179164211001,7777,48
468,b002179164211001,7777,47
469,1207,1426,2
470,b001179479211001,7777,2
471,b001179479211001,7777,1
472,1207,1426,3
473,b001179479211001,7777,3
474,b001179479211001,7777,3
475,1415,1902,10
476,b001179469711001,7777,9
477,b001179469711001,7777,9
478,b001179476811001,7777,9
479,b001179476811001,7777,9
480,1207,1426,3
481,b001179479211001,7777,3
482,b001179479211001,7777,3
483,552340621,99,9
484,1013,507287778,122
485,b001179516711001,7777,122
486,b001179516711001,7777,122
487,1904,1420,134
488,b001179476911001,7777,134
489,b001179476911001,7777,133
490,b001179469911001,7777,134
491,b001179469911001,7777,133
492,594996176,99,10
493,593891074,99,43
494,1207,1426,120
495,b001179472111001,7777,120
496,b001179472111001,7777,120
497,b001179479211001,7777,120
498,b001179479211001,7777,120
499,594996176,90,176
500,b001179548511001,7777,176
501,b001179548511001,7777,176
502,593891074,90,162
503,b001179533011001,7777,161
504,b001179533011001,7777,161
505,1200,1404,38
506,b001179464711001,7777,37
507,b001179464711001,7777,37
508,b001179461811001,7777,37
509,b001179461811001,7777,37
510,1021,27870010733,52
511,b001179513611001,7777,51
512,b001179513611001,7777,51
513,1000,1617,29
514,b002179164211001,7777,29
515,b002179164211001,7777,29
516,b001179548511001,7777,29
517,b001179548511001,7777,29
518,1420,1904,33
519,b001179476911001,7777,33
520,b001179476911001,7777,33
521,b001179469911001,7777,33
522,b001179469911001,7777,33
523,3982,1036,2
524,b001179520711001,7777,1
525,b001179520711001,7777,1
526,115116200,99,40
527,115116200,90,9
528,b001179548511001,7777,9
529,b001179548511001,7777,8
530,1617,115116200,53
531,b002179164211001,7777,53
532,b002179164211001,7777,52
533,1030,1421,456
534,b001179541111001,7777,455
535,b001179541111001,7777,455
536,b001179484011001,7777,455
537,b001179484011001,7777,455
538,1617,1614,109
539,b002179164211001,7777,108
540,b002179164211001,7777,108
541,b002179164511001,7777,109
542,b002179164511001,7777,109
543,1017,505981643,126
544,b001179514911001,7777,126
545,b001179514911001,7777,126
546,1006,1036,1264
547,b001179534011001,7777,1264
548,b001179534011001,7777,1264
549,b001179516011001,7777,1264
550,b001179516011001,7777,1264
551,1000,1030,12
552,b001179548511001,7777,11
553,b001179548511001,7777,11
554,b001179541111001,7777,11
555,b001179541111001,7777,11
556,1001,115209050,7
557,b001179533011001,7777,6
558,b001179533011001,7777,6
559,1617,561113592,63
560,b002179164211001,7777,62
561,b002179164211001,7777,62
562,1001,2802,81
563,b001179533011001,7777,80
564,b001179533011001,7777,80
565,1904,1415,1
566,b001179469911001,7777,1
567,b001179469911001,7777,1
568,1950,1000,34
569,b001179533011001,7777,34
570,b001179533011001,7777,33
571,b001179517611001,7777,34
572,b001179517611001,7777,33
573,1950,1000,2
574,b001179517611001,7777,2
575,b001179517611001,7777,2
576,1950,1954,75
577,b001179517611001,7777,74
578,b001179517611001,7777,74
579,b002179181011001,7777,74
580,b002179181011001,7777,74
581,b001179524311001,7777,38
582,b001179524311001,7777,37
583,9.72E+11,99,23
584,1006,1007,65
585,b001179513711001,7777,64
586,b001179513711001,7777,64
587,b001179534011001,7777,64
588,b001179534011001,7777,64
589,1950,1000,5
590,b001179517611001,7777,5
591,b001179517611001,7777,5
592,1021,1009,179
593,b001179534711001,7777,179
594,b001179534711001,7777,178
595,b001179513611001,7777,178
596,b001179513611001,7777,178
597,1007,1006,33
598,b001179534011001,7777,33
599,b001179534011001,7777,33
600,b001179513711001,7777,33
601,b001179513711001,7777,33
602,1954,1950,73
603,b002179181011001,7777,73
604,b002179181011001,7777,73
605,b001179517611001,7777,73
606,b001179517611001,7777,73
607,1032,2802,190
608,b001179524311001,7777,151
609,b001179524311001,7777,151
610,1000,1030,2
611,b001179548511001,7777,2
612,b001179548511001,7777,2
613,1021,1029,72
614,b001179513611001,7777,72
615,b001179513611001,7777,72
616,b001179532911001,7777,72
617,b001179532911001,7777,72
618,1804,1008,2
619,b001179526311001,7777,2
620,b001179526311001,7777,2
621,1904,1711,3
622,b001179469911001,7777,3
623,b001179469911001,7777,3
624,1950,1951,15
625,b001179517611001,7777,15
626,b001179517611001,7777,15
627,b001179522111001,7777,15
628,b001179522111001,7777,15
629,1804,1009,70
630,b001179534711001,7777,69
631,b001179534711001,7777,69
632,b001179526311001,7777,69
633,b001179526311001,7777,69
634,1000,1421,31
635,b001179484011001,7777,30
636,b001179484011001,7777,30
637,b001179548511001,7777,30
638,b001179548511001,7777,30
639,1013,1029,25
640,b001179516711001,7777,24
641,b001179516711001,7777,24
642,b001179532911001,7777,24
643,b001179532911001,7777,24
644,1908,1910,14
645,b001179477411001,7777,14
646,b001179477411001,7777,14
647,1031,552419970,115
648,b001179530111001,7777,114
649,b001179530111001,7777,114
650,1015,1425,2
651,b001179533211001,7777,2
652,b001179533211001,7777,2
653,1421,1030,64
654,b001179484011001,7777,63
655,b001179484011001,7777,63
656,b001179541111001,7777,63
657,b001179541111001,7777,63
658,1421,1950,18
659,b001179484011001,7777,18
660,b001179484011001,7777,17
661,b001179517611001,7777,18
662,b001179517611001,7777,17
663,1000,1030,13
664,b001179548511001,7777,12
665,b001179548511001,7777,12
666,b001179541111001,7777,12
667,b001179541111001,7777,12
668,1421,1030,32
669,b001179484011001,7777,31
670,b001179484011001,7777,31
671,b001179541111001,7777,31
672,b001179541111001,7777,31
673,1904,1910,6
674,b001179469911001,7777,5
675,b001179469911001,7777,5
676,1021,27870010733,149
677,b001179513611001,7777,148
678,b001179513611001,7777,148
679,1032,1902,71
680,b001179476811001,7777,70
681,b001179476811001,7777,70
682,b001179524311001,7777,71
683,b001179524311001,7777,71
684,1030,1421,9
685,b001179484011001,7777,8
686,b001179484011001,7777,8
687,b001179541111001,7777,9
688,b001179541111001,7777,8
689,1421,1000,52
690,b001179533011001,7777,52
691,b001179533011001,7777,52
692,b001179484011001,7777,52
693,b001179484011001,7777,52
694,1954,1950,24
695,b001179517611001,7777,24
696,b001179517611001,7777,24
697,b002179181011001,7777,24
698,b002179181011001,7777,24
699,1000,1421,28
700,b001179548511001,7777,28
701,b001179548511001,7777,28
702,b001179484011001,7777,28
703,b001179484011001,7777,28
704,1421,1030,2
705,b001179484011001,7777,2
706,b001179484011001,7777,2
707,1025,1049,76
708,b001179537211001,7777,76
709,b001179537211001,7777,75
710,b001179532511001,7777,76
711,b001179532511001,7777,75
712,1001,1421,14
713,b001179484011001,7777,13
714,b001179484011001,7777,13
715,b001179533011001,7777,13
716,b001179533011001,7777,13
717,1421,1012,2
718,b001179484011001,7777,1
719,b001179484011001,7777,1
720,1030,1049,12
721,b001179537211001,7777,11
722,b001179537211001,7777,11
723,b001179541111001,7777,11
724,b001179541111001,7777,11
725,1620,99,5
726,1711,1904,2
727,b001179474711001,7777,1
728,b001179474711001,7777,1
729,2802,1010,3
730,568390586,99,22
731,568390586,93,21
732,b001179533011001,7777,20
733,b001179533011001,7777,20
734,568390586,99,2
735,1006,1007,39
736,b001179534011001,7777,39
737,b001179534011001,7777,39
738,b001179513711001,7777,39
739,b001179513711001,7777,39
740,1017,592582393,200
741,b001179514911001,7777,207
742,b001179514911001,7777,207
743,592582393,99,3
744,580213333,99,22
745,1017,592582393,66
746,b001179514911001,7777,65
747,b001179514911001,7777,65
748,580213333,93,78
749,b001179533011001,7777,78
750,b001179533011001,7777,78
751,1025,1049,59
752,b001179537211001,7777,59
753,b001179537211001,7777,58
754,b001179532511001,7777,59
755,b001179532511001,7777,58
756,1804,1046,1
757,1036,1614,2
758,b001179516011001,7777,1
759,b001179516011001,7777,1
760,1016,1409,15
761,b001179515211001,7777,14
762,b001179515211001,7777,14
763,b001179468211001,7777,14
764,b001179468211001,7777,14
765,b001179533011001,7777,68
766,b001179533011001,7777,68
767,1001,2802,208
768,b001179533011001,7777,140
769,b001179533011001,7777,140
770,1951,1950,30
771,b001179517611001,7777,29
772,b001179517611001,7777,29
773,b001179522111001,7777,29
774,b001179522111001,7777,29
775,2915,1001,3
776,0+447970112908,99,42
777,0+447970112908,90,24
778,b001179533011001,7777,23
779,b001179533011001,7777,23
780,1421,1013,124
781,b001179516711001,7777,123
782,b001179516711001,7777,123
783,b001179484011001,7777,123
784,b001179484011001,7777,123
785,b001179470911001,7777,14
786,b001179470911001,7777,14
787,1407,1421,6
788,b001179470911001,7777,6
789,b001179470911001,7777,6
790,b001179484011001,7777,6
791,b001179484011001,7777,6
792,1023,1407,154
793,b001179513011001,7777,153
794,b001179513011001,7777,153
795,1420,4.41E+11,15
796,b001179476911001,7777,15
797,b001179476911001,7777,15
798,548080643,99,20
799,548080643,99,22
800,548080643,99,6
801,548080643,99,5
802,1030,1008,4
803,b001179541111001,7777,3
804,b001179541111001,7777,3
805,1009,2802,38
806,b001179534711001,7777,37
